trade_date,wind_code,open,high,low,close,volume,amt
2026-06-23,801080.SI,11033.55,11172.47,10728.11,10845.38,21098820000,1042868730000
2026-06-24,801080.SI,10732.67,11305.34,10705.88,11295.21,22402200000,1072865020000
2026-06-25,801080.SI,11447.30,11756.13,11413.74,11739.62,25047800000,1204194970000
2026-06-26,801080.SI,11558.50,11788.26,11288.59,11519.58,26619310000,1212359940000
2026-06-29,801080.SI,11580.49,11940.15,11121.38,11714.95,25740780000,1255890430000
2026-06-30,801080.SI,11688.61,12228.93,11688.61,12209.62,24524160000,1177037130000
2026-07-01,801080.SI,12222.78,12499.74,11792.07,11966.45,26370750000,1263570180000
2026-07-02,801080.SI,11387.12,11636.80,11074.28,11111.15,26085250000,1138604620000
2026-07-03,801080.SI,11002.67,11387.51,10798.56,11024.08,22771800000,1025079640000
2026-07-06,801080.SI,11180.77,11194.96,10538.29,10864.64,21207890000,966209600000
2026-07-07,801080.SI,10721.21,10974.64,10601.54,10790.54,17754160000,829216500000
2026-07-08,801080.SI,10876.33,11021.58,10392.95,10668.78,18922780000,878436600000
2026-07-09,801080.SI,10872.72,11454.55,10715.33,11450.79,21090770000,1037773370000
2026-07-10,801080.SI,11539.56,11754.08,10841.16,10841.16,23736590000,1198892250000
2026-07-13,801080.SI,10665.09,10893.47,10152.10,10213.92,20184370000,964304730000
2026-07-14,801080.SI,10253.11,10542.13,9866.51,10491.95,18761640000,931031530000
2026-07-15,801080.SI,10616.20,10616.20,9976.29,10009.07,16887780000,819114110000
2026-07-16,801080.SI,9733.81,10100.89,9490.87,9583.32,16113300000,764250000000
2026-07-17,801080.SI,9477.69,9477.81,8720.10,8798.20,18441830000,814755330000
2026-07-20,801080.SI,9028.32,9045.90,8149.90,8374.74,17956810000,786085410000
2026-07-21,801080.SI,8515.18,9222.76,7923.81,9206.97,21634220000,920690010000
2026-07-22,801080.SI,9128.40,9445.44,8934.52,9026.71,18114370000,875803030000
2026-07-23,801080.SI,9127.18,9150.19,8713.67,8803.92,13221450000,639721110000
2026-07-24,801080.SI,8644.68,8930.71,8617.55,8737.16,12246310000,574902600000
2026-07-27,801080.SI,8701.96,8960.17,8572.39,8960.17,12977270000,602713390000
2026-07-28,801080.SI,8679.04,8854.75,8269.76,8331.61,13476020000,601453510000
2026-07-29,801080.SI,8319.03,8387.52,7886.70,8237.29,15130610000,677812120000
2026-07-30,801080.SI,8128.53,8177.59,7574.02,7699.01,15782340000,673111460000
2026-07-31,801080.SI,8345.23,8432.21,7970.84,7970.84,16609440000,737099480000
2026-08-03,801080.SI,7863.85,7905.34,7600.23,7637.58,12431220000,553453030000
2026-08-04,801080.SI,7726.17,8126.07,7680.15,8075.25,14243060000,607857270000
2026-08-05,801080.SI,8002.89,8638.65,8002.89,8532.27,17757730000,778592220000
2026-08-06,801080.SI,8319.21,8808.48,8319.21,8670.42,16596320000,728052770000
2026-08-07,801080.SI,8678.82,9023.19,8651.91,8976.39,17426750000,784005900000
2026-08-10,801080.SI,9004.00,9015.58,8725.53,8931.97,14814410000,711136710000
2026-08-11,801080.SI,8811.10,9053.87,8764.86,8853.93,13798370000,631679610000
2026-08-12,801080.SI,8896.26,9093.17,8871.07,9035.33,12292810000,591778940000
2026-08-13,801080.SI,9193.60,9271.52,8905.29,8906.51,14581880000,702465950000
2026-08-14,801080.SI,9031.05,9062.00,8852.30,9022.47,11834331600,560542830500
