vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,创新药指数、恒生创新药指数2026年年初至今涨跌幅,1,指数日行情,,,"|指数名称|指数代码|交易日|收盘价(点)|昨收盘(点)|今开盘(点)|最高价(点)|最低价(点)|涨跌(点)|涨跌幅(%)|成交量(万股)|成交额(亿元)|指数市值(亿元)|
|创新药30|931440|2026-07-30|2836.22|2891.81|2888.52|2899.4|2793.85|-55.59|-1.92|52042.38|257.74|6019.84|
|创新药|980086|2026-07-30|2179.1|2225.78|2226.94|2228.97|2152.18|-46.68|-2.1|80973.89|245.9||
|CS创新药|931152|2026-07-29|1912.54|1891.77|1909.29|1931.53|1880.04|20.77|1.1|95089.23|385.92|10108.25|
|创新药30|931440|2026-07-29|2891.81|2873.94|2906.26|2923.1|2845.52|17.87|0.62|49233.76|248.34|6137.81|
|创新药|980086|2026-07-29|2225.78|2203.12|2215.33|2230.68|2186.93|22.66|1.03|73848.39|240.31||
|CS创新药|931152|2026-07-28|1891.77|1936.42|1925.58|1936.61|1884.44|-44.65|-2.31|80809.55|310.32|9998.44|
|创新药30|931440|2026-07-28|2873.94|2947.93|2927.68|2948.97|2862.04|-73.99|-2.51|40447.78|188.89|6099.89|
|创新药|980086|2026-07-28|2203.12|2228.33|2230.37|2235.33|2187.59|-25.21|-1.13|63657.95|196.24||
|CS创新药|931152|2026-07-27|1936.42|1894.98|1893.48|1960.38|1886.24|41.44|2.19|95924.1|387.23|10234.45|
|创新药30|931440|2026-07-27|2947.93|2899.76|2906.71|2991.99|2884.08|48.17|1.66|48298.07|235.74|6256.94|
|创新药|980086|2026-07-27|2228.33|2216.15|2208.2|2254.96|2194.45|12.18|0.55|79922.62|223.09||
|CS创新药|931152|2026-07-24|1894.98|1975.88|1961.51|1969.76|1891.66|-80.9|-4.09|106117.32|417.14|10015.45|
|创新药30|931440|2026-07-24|2899.76|3030.34|3007.06|3012.19|2891.21|-130.58|-4.31|55123.49|267.05|6154.69|
|创新药|980086|2026-07-24|2216.15|2277.01|2257.13|2289.42|2203.2|-60.86|-2.67|84138.1|276.96||
|CS创新药|931152|2026-07-23|1975.88|1985.72|1970.13|2002.06|1941.16|-9.84|-0.5|106279.86|435.92|10442.98|
|创新药30|931440|2026-07-23|3030.34|3022.91|3004.01|3068.73|2964.71|7.43|0.25|57457.62|283.51|6431.84|
|创新药|980086|2026-07-23|2277.01|2287.24|2282.57|2304.73|2250.25|-10.23|-0.45|73590.6|281.51||
|CS创新药|931152|2026-07-22|1985.72|1981.92|1960.09|2038.44|1956.55|3.8|0.19|133187.53|547.96|10495.02|
|创新药30|931440|2026-07-22|3022.91|3010.45|2978.42|3109.98|2973.21|12.46|0.41|69423.1|341.57|6416.08|
|创新药|980086|2026-07-22|2287.24|2262.85|2254.04|2331.52|2248.36|24.39|1.08|101862.26|347.09||
|CS创新药|931152|2026-07-21|1981.92|1964.39|1949.37|1982.19|1908.04|17.53|0.89|146723.29|577.62|10474.94|
|创新药30|931440|2026-07-21|3010.45|2995.9|2982.56|3010.5|2898.43|14.55|0.49|74801.1|359.4|6389.62|
|创新药|980086|2026-07-21|2262.85|2257.67|2243.46|2268.91|2200.72|5.18|0.23|103835.6|356.02||
|CS创新药|931152|2026-07-20|1964.39|1899.07|1871.67|1979.62|1871.24|65.32|3.44|156232.41|615.41|10382.28|
|创新药30|931440|2026-07-20|2995.9|2882.66|2843.67|3021.77|2843.28|113.24|3.93|80607.22|381.97|6358.75|
|创新药|980086|2026-07-20|2257.67|2168.66|2175.41|2268.9|2173.43|89.01|4.1|106514.17|368.44||
|CS创新药|931152|2026-07-17|1899.07|2048.76|2026.03|2031.75|1899.07|-149.69|-7.31|168446.81|662.83|10037.05|
|创新药30|931440|2026-07-17|2882.66|3123.77|3086.2|3092.32|2880.6|-241.11|-7.72|89947.05|427.06|6118.4|
|创新药|980086|2026-07-17|2168.66|2331.63|2320.83|2321.41|2153.48|-162.97|-6.99|145392.34|452.59||
|CS创新药|931152|2026-07-16|2048.76|2054.51|2014.52|2089.93|1980.58|-5.75|-0.28|195360.09|805.48|10828.17|
|创新药30|931440|2026-07-16|3123.77|3147.0|3078.79|3184.75|3018.37|-23.23|-0.74|96985.54|494.7|6630.16|
|创新药|980086|2026-07-16|2331.63|2333.6|2319.18|2367.61|2281.92|-1.97|-0.08|139300.01|480.65||
|CS创新药|931152|2026-07-15|2054.51|1975.02|1965.23|2105.44|1964.74|79.49|4.02|209736.83|910.62|10858.6|
|创新药30|931440|2026-07-15|3147.0|3039.75|3012.33|3237.53|3012.24|107.25|3.53|119765.45|631.16|6679.45|
|创新药|980086|2026-07-15|2333.6|2243.63|2238.8|2395.9|2238.74|89.97|4.01|186823.49|638.05||
|CS创新药|931152|2026-07-14|1975.02|1911.83|1900.07|1975.6|1881.83|63.19|3.31|147731.08|585.52|10438.48|
|创新药30|931440|2026-07-14|3039.75|2940.91|2924.67|3039.79|2893.04|98.84|3.36|76476.35|377.07|6451.82|
|创新药|980086|2026-07-14|2243.63|2223.1|2223.15|2249.62|2184.86|20.53|0.92|124704.31|356.03||
|CS创新药|931152|2026-07-13|1911.83|1925.27|1919.45|1939.12|1895.37|-13.44|-0.7|133060.62|507.39|10104.47|
|创新药30|931440|2026-07-13|2940.91|2959.88|2945.22|2982.75|2911.77|-18.97|-0.64|70991.95|328.35|6242.04|
|创新药|980086|2026-07-13|2223.1|2232.16|2230.22|2264.36|2194.69|-9.06|-0.41|120409.25|351.99||
|CS创新药|931152|2026-07-10|1925.27|1866.31|1846.22|1957.66|1840.67|58.96|3.16|144894.67|589.82|10175.53|
|创新药30|931440|2026-07-10|2959.88|2889.04|2852.8|3025.31|2849.45|70.84|2.45|78438.17|397.81|6282.29|
|创新药|980086|2026-07-10|2232.16|2168.76|2167.14|2280.95|2138.46|63.4|2.92|133979.46|424.08||
|CS创新药|931152|2026-07-09|1866.31|1832.62|1815.34|1898.93|1806.76|33.69|1.84|108234.64|453.78|9863.89|
|创新药30|931440|2026-07-09|2889.04|2821.31|2791.65|2936.42|2778.59|67.73|2.4|65120.15|327.68|6131.94|
|创新药|980086|2026-07-09|2168.76|2161.56|2150.12|2223.21|2126.93|7.2|0.33|102539.52|336.87||
|CS创新药|931152|2026-07-08|1832.62|1877.29|1880.77|1909.33|1832.35|-44.67|-2.38|106752.19|437.11|9685.85|
|创新药30|931440|2026-07-08|2821.31|2889.49|2895.29|2941.72|2820.7|-68.18|-2.36|63053.2|305.37|5988.19|
|创新药|980086|2026-07-08|2161.56|2195.73|2199.41|2248.42|2156.31|-34.17|-1.56|104179.67|347.71||
|CS创新药|931152|2026-07-07|1877.29|1965.03|1940.28|1940.28|1872.65|-87.74|-4.47|132166.94|560.91|9921.93|
